ID,STATUS,Applied Criterios,TITLE,ABSTRACT,RESULT_B_2,EXPLAIN_B_2
995.0,Included,included,Dependable solutions design by Agile Modeled Layered Security Architectures,"Our research entitled ""Designing Dependable Agile Layered Security Architecture Solutions"" addresses the innovative idea and novel implementations of Security Engineering for Software Engineering using Agile Modeled Layered Security Architectures for Dependable Privacy Requirements, with a validation of an exemplar case study of Web Services Security Architectures. Securing the Software Architecture in any application at design phase is known as Security Architectures, and we focus on authentication and authorization of the user. Now a day most of the applications are developed as a Layered Security Architecture Pattern, typically we have user presentation layer, Business Logic Layer and Database access layer. Now Agile modeling is used in all applications design (but Agile Modeled Architectures are given little importance) because of shortened developed time, with customer collaborations with developers and importantly with Test Driven Development approaches. Securing Agile Modeled architectures, which being an iterative development, will provide enhanced Dependable Security Requirements in terms of Privacy of user, in its successive iterations. All this research paves a way for Secure Web Engineering. Â© Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2012.",INCLUDED,The article addresses requirements in software projects using agile methodologies (IC1) and is a study from academia (IC2). It's a primary study (IC4) and presents qualitative research (based on the abstract's focus on 'innovative idea and novel implementations'). It does not violate any exclusion criteria.
2680.0,Included,included,URDAD as a semi-formal approach to analysis and design,"The Use Case, Responsibility Driven Analysis and Design (URDAD) methodology is a methodology for technology neutral design generating the Platform Independent Model of the Object Management Group’s Model Drive...",INCLUDED,The article addresses requirements in software projects using agile methodologies (IC1) and is a study (abstract suggests it's a methodology description - IC2 & IC4). It is a primary study. It does not violate any exclusion criteria.
2739.0,Included,included,Using MCRDR based Agile approach for expert system development,"Generally, expert obtain the knowledge from their own personal experience [24...",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), is a study from industry or academia (IC2), and is likely a primary study (IC4) as it presents a new approach. It does not violate any exclusion criteria."
1926.0,Excluded,ec4,Proceedings of the 30th international conference on Software engineering,"Welcome to the 30th International Conference on Software Engineering in Leipzig, Germany. On behalf of the entire organizing committee, we are very happy to welcome you to ICSE which returns to Germany for the third time after Munich (1978) and Berlin ...",EXCLUDED,"The article is a conference proceedings, which is a secondary study and does not present a primary research study. It also does not address software requirements directly, but rather summarizes a conference."
1242.0,Excluded,ec6,eXtreme Programmingâ€“â€“helpful or harmful in educating undergraduates?,"Criticism is sometimes leveled at the academic Software Engineering community on the basis that current educational practices are too document-centric. Both students and practitioners have suggested that one of the popular, lighter-weight, agile methods would be a better choice. This paper examines the educational goals for undergraduate Software Engineering education and considers how they might be met by the practices of eXtreme Programming. Our judgment is that education about some agile practices could be beneficial for small-scale development. However, as it stands now, eXtreme Programming as a package does not lend itself for use in educating about large-scale system development in tertiary education.",EXCLUDED,"The article does not address software requirements. The abstract focuses on the educational goals of Software Engineering education and considers eXtreme Programming as a potential method, but it doesn't explicitly discuss specific software requirements or how eXtreme Programming addresses them in a practical context."
1479.0,Excluded,ec4,Index,abstract is not available,EXCLUDED,"The abstract is not available, making it impossible to determine if the article addresses software requirements, agile methodologies, or research questions as required by the inclusion criteria. Therefore, it cannot be classified as included."
1689.0,Excluded,ec3,MITSIO—an architecture for the management of interactive tasks and the semantic integration of ontologies in the mobile grid,"The interaction between mobile and grid environments in building a transparent infrastructure for mobile users, involves several factors from both wired and wireless networks. These include the following: coor...",EXCLUDED,"The article deals with the integration of ontologies in mobile grid environments, which does not directly address software requirements as defined in IC1. It appears to be a more general architectural proposal rather than a study focused on requirements engineering within software projects."
1361.0,Included,included,Hitting the target: adding interaction design to agile software development,"Extreme Programming appears to be a solution for discovering and meeting requirements faster (through close customer collaboration) as well as creating quality software. In practice we found XP did deliver high quality software quickly, but the resulting ...",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), it is a study from industry or academia (IC2), and the abstract suggests it is a primary study (IC4). It does not violate any exclusion criteria."
2123.0,Included,included,"Scenarios, personas and user stories: User-centered evidence-based design representations of communicable disease investigations","AbstractPurpose Despite years of effort and millions of dollars spent to create unified electronic communicable disease reporting systems, the goal remains elusive. A major barrier has been a lack of understanding by system designers of communicable disease (CD) work and the public health workers who perform this work. This study reports on the application of user-centered design representations, traditionally used for improving interface design, to translate the complex \{CD\} work identified through ethnographic studies to guide designers and developers of \{CD\} systems. The purpose of this work is to: (1) better understand public health practitioners and their information workflow with respect to \{CD\} monitoring and control at a local health agency, and (2) to develop evidence-based design representations that model this \{CD\} work to inform the design of future disease surveillance systems. Methods We performed extensive onsite semi-structured interviews, targeted work shadowing and a focus group to characterize local health agency \{CD\} workflow. Informed by principles of design ethnography and user-centered design we created persona, scenarios and user stories to accurately represent the user to system designers. Results We sought to convey to designers the key findings from ethnographic studies: (1) public health \{CD\} work is mobile and episodic, in contrast to current \{CD\} reporting systems, which are stationary and fixed, (2) health agency efforts are focused on \{CD\} investigation and response rather than reporting and (3) current \{CD\} information systems must conform to public health workflow to ensure their usefulness. In an effort to illustrate our findings to designers, we developed three contemporary design-support representations: persona, scenario, and user story. Conclusions Through application of user-centered design principles, we were able to create design representations that illustrate complex public health communicable disease workflow and key user characteristics to inform the design of \{CD\} information systems for public health.",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1) as it focuses on designing communicable disease information systems. It is a study from industry/academia (IC2) and presents qualitative research (IC3) through interviews, shadowing, and focus groups. It is a primary study (IC4), and does not violate any exclusion criteria (EC1-EC9)."
373.0,Excluded,ec3,Agile development: evaluation and experience,"Agile methods such as Extreme Programming, Crystal, Scrum, and others have attracted a lot of attention recently. Agile methods stress early and continuous delivery of software, welcome changing requirements, and value early feedback from customers. Agile methods seek to cut out inefficiency, bureaucracy, and anything that adds no value to a software product. Proponents of agile methods often see software specification and documentation as adding no value, which has led observers to conclude that agile development is nothing but unprincipled hacking, perhaps even an anarchic counter-reaction to bureaucratic, heavyweight software processes that demand ever more intermediate deliverables from developers. The purpose of this panel is to discuss under what circumstances agile methods work and don't work. Some of the key practices of agile methods are: scheduling according to feature priorities, incremental delivery of software, feedback from expert users, emphasis on face-to-face communication, pair development, minimalist design combined with refactoring, test-driven development, automated regression testing, daily integration, self-organizing teams, and periodic tuning of the methods. Working software is the primary measure of success. Find out what the latest practical experience with agile methods is and learn about the latest thinking in this area.",INCLUDED,The article addresses requirements in software projects using agile methodologies (IC1). It's a study from industry or academia (IC2) and presents a discussion of practical experience with agile methods (IC3). It is a primary study and does not violate any exclusion criteria (EC1-EC9).
