ID,STATUS,Applied Criterios,TITLE,ABSTRACT,RESULT_A_3,EXPLAIN_A_3
107.0,Excluded,ec3,A dynamic spectrum access network based on cognitive radio,"Dynamic spectrum access technologies based on Cognitive Radio (CR) is under intensive research carried out by the wireless communication society and is expected to solve the problem of spectrum scarcity. However, most enabling technologies related to dynamic spectrum access are considered individually. In this paper, we consider these key technologies jointly and introduce a new implementation scheme for a Dynamic Spectrum Access Network Based on Cognitive Radio (DSAN-BCR). We start with a flexible hardware platform for DSAN-BCR, as well as a flexible protocol structure that dominates the operation of DSAN-BCR. We then focus on the state of the art of key technologies such as spectrum sensing, spectrum resources management, dynamic spectrum access, and routing that are below the network layer in DSAN-BCR, as well as the development of technologies related to higher layers. Last but not the least, we analyze the challenges confronted by these mentioned technologies in DSAN-BCR, and give the perspectives on the future development of these technologies. The DSAN-BCR introduced is expected to provide a system level guidance to alleviate the problem of spectrum scarcity.",EXCLUDED,"The article does not address software requirements in software projects using agile methodologies (violates EC3). Instead, it focuses on cognitive radio and dynamic spectrum access in wireless communication, which is outside the scope of software project requirements and agile methodologies."
1959.0,Excluded,ec3,Progress on standardization and automation in software development on \{W7X\},"For a complex experiment like \{W7X\} being subject to changes all along its projected lifetime the advantages of a formalized software development method have already been stated [1]. Quality standards like ISO/IEC-12207 provide a guideline for structuring of development work and improving process and product quality. A considerable number of tools has emerged supporting and automating parts of development work. On \{W7X\} progress has been made during the last years in exploiting the benefit of automation and management during software development:â€“ Continuous build, integration and automated test of software artefacts.âˆ˜ Syntax checks and code quality metrics. âˆ˜ Documentation generation. âˆ˜ Feedback for developers by temporal statistics. â€“ Versioned repository for build products (libraries, executables). â€“ Separate snapshot and release repositories and automatic deployment. â€“ Semi-automatic provisioning of applications. â€“ Feedback from testers and feature requests by ticket system. This toolset is working efficiently and allows the team to concentrate on development. The activity there is presently focused on increasing the quality of the existing software to become a dependable product. Testing of single functions and qualities must be simplified. So a restructuring is underway which relies more on small, individually testable components with standardized interfaces providing the capability to construct arbitrary function aggregates for dedicated tests of quality attributes as availability, reliability, performance. A further activity is on improving the development cycle. The use of release cycles has already provided favourable concentration of work and predictability of delivery times. However, the demand has risen, to react quickly on priority changes from W7X-project management. So a more agile development cycle is being prepared relying on smaller working packages, shorter release cycles and an associated release plan giving the software development responsible the possibility to react on a shorter time scale.",EXCLUDED,"The article does not address any agile methodology specifically, violating Exclusion Criterion EC7. Although it mentions a move towards more agile development cycles, it fails to detail or analyze any specific agile methodology (e.g., Scrum, Kanban, XP), and thus does not meet the requirement to address at least one agile methodology as per IC7."
2596.0,Included,included,Towards a conceptual framework and tool support for linking long-term product and business planning with agile software development,"For a software company it is essential to understand how to link business management and software development decision-making. Agile methods adhere to the viewpoint of individual development projects, leaving business concerns such as long-term product ...",INCLUDED,"The article addresses software requirements in the context of agile methodologies, specifically focusing on linking long-term product and business planning with agile software development. It is not written in a non-English language, is not a draft, abstract, or tertiary study, does not deal with teaching agile methods, and addresses at least one agile methodology. It satisfies all inclusion criteria and violates no exclusion criteria."
2127.0,Included,included,Scope management in agile versus traditional software development methods,"Scope management is among one of the most important knowledge areas of software project management which if not managed carefully can lead the projects towards failure. A well defined and well managed scope is very important for a qualitative, cost effective and timely completion of the project. In this paper we discussed the role and impact of the scope on two very broadly accepted methodologies for software development. The two methodologies adopt different techniques for the development of software. How they are different from each other and how they adopt and manage the scope in there development process are discussed. Moreover, the replacement of traditional software development methods by agile software development methods in terms of cost, resources and time are also a part of this work.",INCLUDED,"The article addresses scope management in software projects using agile and traditional methodologies, satisfying IC1. It is a study that compares two development approaches, thus addressing software requirements in the context of agile methodologies. The abstract indicates a comparative analysis, which is a primary study, meeting IC4. The article is not written in a non-English language (EC1), does not deal with teaching agile methods (EC6), does not focus on a tertiary or meta-analysis (EC5), and does not fail to address an agile methodology or research questions (EC7, EC9). It is not a draft, abstract, or incomplete study (EC4). Therefore, it meets all inclusion criteria and does not violate any exclusion criteria, classifying it as INCLUDED."
2046.0,Excluded,ec3,Reputation-based self-management of software process artifact quality in consortium research projects,"This paper proposes a PhD research that deals with improving internal documentation in software projects. Software developers often do not like to create documentation because it has few value to the individual himself. Yet the purpose of internal documentation is to help others understand the software and the problem it addresses. Documentation increases development speed, reduces software maintenance costs, helps to keep development on track, and mitigates the negative effects of distance in distributed settings. This research aims to increase the individuals' motivation to write documentation by means of reputation. The CollabReview prototype is a web-based reputation system that analyzes artifacts of internal documentation to derive personal reputation scores. Developers making many good contributions will achieve higher reputation scores. These scores can then be employed to softly influence developer behavior, e.g. by incentivizing them to contribute to documentation with social rewards. No strict rule enforcement is necessary.",EXCLUDED,"The article is a PhD research proposal (a draft) and falls under EC4 (the study is incomplete, a draft, presentation slides, or just an abstract). Although it addresses software requirements and agile methodologies indirectly, it does not meet the inclusion criterion of being a complete study. Therefore, it is excluded."
2435.0,Excluded,ec3,The blocker challenge when implementing software defined radio receiver RF frontends,"Key blocker requirements of software defined radio receivers are identified from first principles. Three challenges are derived from these requirements, the need for passive filter banks or tunable passive fil...",EXCLUDED,"The article does not address software requirements in software projects using agile methodologies. It focuses on technical challenges in software defined radio receiver RF frontends, which is unrelated to software project requirements or agile methodologies. Thus, it violates Exclusion Criterion EC3."
2438.0,Excluded,ec3,The Combination of Agile and Lean in Software Development: An Experience Report Analysis,"There has been a noticeable focus shift from agile methods such as extreme Programming (XP) and Scrum to lean software development in the last several years, which is indicated as ""from agile to lean"". However, the reality may not be as simple or linear as the term implies. To provide a better understanding of the combined use of agile and lean approaches in software development, a set of experience reports were analysed. These reports were published in the past conferences dedicated to agile software development and report experiences of using both agile and lean. The results of the analysis show that agile and lean can be combined in different manners for different purposes in software development. Lean is often applied as guiding principles for agile development. When combined at practice level, flow-based lean processes tend to substitute time-boxed agile processes.",INCLUDED,"The article addresses software development requirements using agile and lean methodologies, as required by IC1. It is based on an analysis of experience reports from industry and academic conferences, satisfying IC2. The study employs qualitative research methods (analysis of experience reports), meeting IC3. It is a secondary study, fulfilling IC4. It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is not incomplete or a draft (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (Scrum, XP), and answers research questions about the combination of agile and lean practices (EC9). Therefore, it meets all inclusion criteria and does not violate any exclusion criteria."
652.0,Included,included,Balancing agile and structured development approaches to successfully manage large distributed software projects: A case study from the cruise line industry,"Agile methods and traditional structured approaches are often viewed as competing bi-polar choices. Agile methods such as Scrum and XP are recommended for small, co-located projects that involve changing requirements. The traditional structured plan-driven approaches, such as the Capability Maturity Model (CMM) and the waterfall lifecycle frameworks, are recommended for large projects with stable requirements. If a project is large, strategically important, distributed, and has dynamic user requirements and organizational changes, it presents unique challenges that neither the agile methods nor the traditional structured approaches can effectively deal with alone. Although there is an increasing call for a balanced approach, there is little empirical research that shows when and how the two approaches can complement each other. Based on a case study from the cruise line industry of a large distributed strategic project with unanticipated changes, we conclude that this balance is not only workable, but is essential to ensure that the project demonstrates both control and agility for achieving its challenging and dynamic goals. Agile without structure can cause chaos, particularly in large complex distributed projects where planning, control, and coordination are critical. Structure without agility can lead to rigidity, particularly when a project involves a great deal of learning, discovery, and changes. Â© 2010 by the authors.",INCLUDED,"The article addresses software project requirements in the context of agile and structured development approaches, specifically focusing on large distributed projects. It meets IC1 (software requirements in agile contexts), IC2 (industry case study), IC3 (qualitative research via case study), and IC4 (primary study). It does not violate any exclusion criteria: it is in English (EC1), addresses software development requirements (EC3), is a complete study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (Scrum, XP) (EC7), and answers the research question about balancing approaches (EC9). Therefore, it is classified as INCLUDED."
1054.0,Excluded,ec3,Do agile GSD experience reports help the practitioner?,"Agile software development has steadily gained momentum and acceptability as a viable approach to software development. As software development continues to take advantage of the global market, agile methods are also being attempted in geographically distributed settings. In this paper, the authors discuss the usefulness of published research on agile global software development for the practitioner. It is contended that such published work is of minimal value to the practitioner and does not add anything to the guidance available before the existence of current agile methods. A survey of agile GSD related publications, from XP/Agile conferences between 2001 and 2005, is used to support this claim. The paper ends with a number of proposals which aim to improve the usefulness of future agile GSD research and experience.",EXCLUDED,"The article is a survey of publications and argues that published research on agile global software development (GSD) has minimal value to practitioners. It does not address software requirements, which violates Exclusion Criterion EC3. Additionally, it does not describe any study that investigates or addresses agile methodologies in the context of software requirements, thus failing to meet Inclusion Criterion IC1."
1446.0,Included,included,Incorporating user centered requirement engineering into agile software development,"Agile Software Engineering approaches gain more and more popularity in today's development organizations. The need for usable products is also a growing factor for organizations. Thus, their development processes have to react on mis demand and have to offer approaches to integrate the factor ""usability"" in their development processes. The approach presented in this paper evaluates how agile software engineering models consider activities of Usability Engineering to ensure the creation of usable software products. The user-centeredness of the two agile SE models Scrum and XP has been analyzed and the question of how potential gaps can be filled without loosing the process' agility is discussed. As requirements play a decisive role during software development, in Software Engineering as well as Usability Engineering. Therefore, different User Centered Requirements that ensure the development of usable systems served as basis for the gap-analysis. Â© Springer-Verlag Berlin Heidelberg 2007.",INCLUDED,"The article addresses user-centered requirement engineering in agile software development, specifically analyzing Scrum and XP, two agile methodologies. It meets IC1 (addresses requirements in software projects using agile methodologies), IC2 (academic study), IC3 (qualitative analysis), and IC4 (primary study). It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (EC7), and answers research questions about usability integration (EC9). Therefore, it is included."
