ID,STATUS,Applied Criterios,TITLE,ABSTRACT,RESULT_A,EXPLAIN_A
2802.0,Excluded,ec7,What do software architects really do?,"To be successful, a software architectâ€”or a software architecture team, collectivelyâ€”must strike a delicate balance between an external focusâ€”both outwards: Listening to customers, users, watching technology, developing a long-term vision, and inwards: driving the development teamsâ€”and an internal, reflective focus: spending time to make the right design choices, validating them, and documenting them. Teams that stray too far away from this metastable equilibrium fall into some traps that we describe as antipatterns of software architecture teams.",EXCLUDED,"The article does not address software requirements and instead focuses on the responsibilities and antipatterns of software architects. It fails to address at least one agile methodology and does not discuss software project requirements, violating Exclusion Criterion EC3."
898.0,Included,included,Combining Open Space Technology (OST) with XP through Scenarios for enhanced requirements elicitation,"Numerous reports indicate that problems exist with the requirements phase of software development. Although agile approaches help, challenges that still exist involve supporting multiple diverse stakeholders including developers in understanding and representing a problem domain. This poster proposes the combination of Open Space Technology (OST) with eXtreme Programming (XP) through Scenarios to better facilitate all relevant stakeholders during requirements elicitation. Â© Springer-Verlag Berlin Heidelberg 2010.",INCLUDED,"The article is written in English, addresses software requirements elicitation using agile methodologies (specifically combining Open Space Technology with XP), and focuses on enhancing stakeholder understanding during the requirements phase. It does not violate any exclusion criteria (EC1, EC3, EC4, EC5, EC6, EC7, EC9) as it is not a draft, meta-analysis, or teaching-focused study, and it directly addresses at least one agile methodology (XP). It meets all inclusion criteria: it addresses software project requirements using agile methods, is a research study (poster presentation), and is from an academic context. Therefore, it is classified as INCLUDED."
2781.0,Excluded,ec6,Visualization and management of digital forensics data,"The collection, analysis, and preservation of digital forensic data are complementary activities that are ushered by our growing dependence on Information Technology. The training of professionals, who can effectively carry out these activities, suddenly ...",EXCLUDED,"The article does not address software requirements or agile methodologies, violating Exclusion Criteria EC3 and EC7. It also does not focus on software project requirements in an agile context, failing to meet Inclusion Criterion IC1."
1026.0,Included,included,Developing self managing software systems using agile modeling,"Design, development and operation of self managing systems are extremely challenging. Having an appropriate development model is of paramount significance for self managing systems. Various approaches have been studied and used in the past. It has been observed that self managing systems may be very good candidates for agile modelling and development. In this paper, we propose a generic architecture along with a life cycle and an Agile Modelling Approach (AMA) for developing self-managing systems. AMA may be applied to software development projects in an effective, flexible and lightweight manner. Moreover, AMA may be used for requirements, analysis, architecture and design, along with the use-case, object, aspect, data or user-interface models.",INCLUDED,"The article addresses software requirements in the context of developing self-managing systems using agile modeling, which aligns with IC1. It presents a primary study proposing a generic architecture and an Agile Modelling Approach (AMA), satisfying IC4 as a primary study. The work focuses on agile methodologies (agile modeling) and does not fall under teaching agile methods (EC6), nor does it involve tertiary or meta-analysis (EC5). It is written in English (EC1), is not a draft or abstract (EC4), and addresses at least one agile methodology (EC7). All inclusion criteria are met and no exclusion criteria are violated."
223.0,Included,included,A software methodology for applied research: eXtreme Researching,"Applied research is, by necessity, a distributed, collaborative process. To be useful, research methodologies must not only be applicable in such an environment, but must also be adaptive to the needs of human resources and specific research area requirements. This paper introduces eXtreme Researching (XR), an adaptation of eXtreme Programming (XP) by Ericsson, to support distributed telecommunications research and development. XR builds on XP and tailors it to meet the needs of applied industrial research. It adopts and extends the most useful elements of XP: collective ownership, planning game, continuous integration and metaphor and shows how they are applicable in multi-site, research projects. XPWeb is developed as a tool to facilitate XR in a distributed research environment. XPWeb and XR are actively used by Ericsson Applied Research and have been shown to significantly increase output and efficiencies in multi disciplinary research projects. Copyright Â© 2005 John Wiley & Sons, Ltd.",EXCLUDED,"The article introduces eXtreme Researching (XR), an adaptation of Extreme Programming (XP) for applied research in telecommunications. It does not address software requirements in software projects but rather focuses on research methodologies in a non-software context. This violates Exclusion Criterion EC3: 'the study does not address software requirements'. Therefore, the article is classified as EXCLUDED."
99.0,Included,included,A decade of agile methodologies: Towards explaining agile software development,"Ever since the agile manifesto was created in 2001, the research community has devoted a great deal of attention to agile software development. This article examines publications and citations to illustrate how the research on agile has progressed in the 10 years following the articulation of the manifesto. Specifically, we delineate the conceptual structure underlying agile scholarship by performing an analysis of authors who have made notable contributions to the field. Further, we summarize prior research and introduce contributions in this special issue on agile software development. We conclude by discussing directions for future research and urging agile researchers to embrace a theory-based approach in their scholarship.",EXCLUDED,"The article is a tertiary study and a meta-analysis of existing literature, as it summarizes prior research and analyzes publications and citations without conducting original empirical research. It violates Exclusion Criterion EC5, which states that the study must not be tertiary or a meta-analysis."
2348.0,Excluded,ec4,Surfing the net for software engineering notes,Agile methods are one of the most controversial topics in the software development community today. The homepage for this year's Agile Development Conference remarked that one of the purposes of this year's conference was to dispel the notion that agile ...,EXCLUDED,"The article is an abstract from a conference that does not address software requirements or provide a study on agile methodologies in software projects. It fails to meet Inclusion Criteria IC1 and IC4, and violates Exclusion Criteria EC3 and EC4."
2492.0,Included,included,The main challenges of implementing fixed-price agile projects for corporate customers,"This experience report titled, `The main challenges of implementing fixed-price agile projects for corporate customers' deals with the difficulties development teams encounter in delivering fixed-price agile projects for traditional corporate clients. The report also lays out the rationale for the agile approach to fixed-price contracts, and cites examples of successful implementations. The main challenges to successful delivery of agile projects under fixed-price contracts are as follows: Correct estimation of fixed-price agile projects; Misalignment between classical functional requirements and User Stories; Difficulty in handling change requests typical for agile projects with fixed budget; Differences between document-oriented and communication-oriented practices; Complexity of embedding specific agile projects into traditional (waterfall) customer environments; Tracking implemented scope and spent budget. The report also offers practical advice to address the aforementioned difficulties.",INCLUDED,"The article does not violate any exclusion criteria: it is in English (EC1), addresses software project requirements in agile methodologies (EC3), is a complete experience report (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (implied by context), and answers research questions about challenges in fixed-price agile projects (EC9). It meets all inclusion criteria: it addresses software project requirements using agile methodologies (IC1), is from industry (experience report from development teams) (IC2), is qualitative research (experience report) (IC3), and is a primary study (IC4). Therefore, it is classified as INCLUDED."
333.0,Excluded,ec3,Adopting Agile in an FDA Regulated Environment,This paper is an experience report describing Abbottpsilas adoption of agile software development practices in its molecular diagnostics division. We will compare two medical device projects; one before agile and one after. Both of these projects required submission to the FDA (the U.S. Food and Drug Administration). We will describe the adoption of agile practices from realization of the need to the selection of a mentor to implementation and fine-tuning and finally to results and lessons learned. This experience has convinced us that an agile approach is the approach best suited to development of FDA-regulated medical devices.,INCLUDED,"The article is written in English, addresses software requirements in an FDA-regulated medical device project using agile methodologies, and describes a primary experience report from industry. It does not violate any exclusion criteria (EC1, EC3, EC4, EC5, EC6, EC7, EC9) and meets all inclusion criteria (IC1, IC2, IC3, IC4)."
1040.0,Excluded,ec7,Disambiguation of Industrial Standards Through Formalization and Graphical Languages,"Natural language safety requirements in industrial standards pose risks for ambiguities which need to be resolved by the system manufacturer in concertation with the certificate authority. This is especially challenging for small and medium-sized enterprises (SME). In this paper we report on our experiences with applying traditional requirements engineering techniques, formal methods, and visual narratives in an exploratory case-study in an SME.",EXCLUDED,"The article does not address software requirements in the context of agile methodologies. It focuses on formalization and graphical languages for disambiguating natural language safety requirements in industrial standards, with no mention of agile methodologies or software project requirements engineering. This violates Exclusion Criterion EC7, which requires the study to address at least one agile methodology."
