ID,STATUS,Applied Criterios,TITLE,ABSTRACT,RESULT_A_2,EXPLAIN_A_2
2182.0,Included,included,Skiing and boxing: Coaching product and enterprise teams,"Successful Agile transitions depend on a coaching approach just as much as the development of a good sports team. One is not going to assign the same exercise programs to a pro skier and a boxer; the same applies to different software development teams. In this study we summarize experiences from two Agile transformation projects, a travel website and investment bank risk management software. We discuss common points and distinctive features in requirements management, innovations, customer collaboration and team motivation. Â© 2012 IEEE.",INCLUDED,"The article addresses software project requirements in the context of agile methodologies, drawing from real-world Agile transformation projects in industry. It discusses key agile practices such as requirements management, customer collaboration, and team motivation. The study is based on qualitative experiences from two industry cases, satisfying IC1 (software requirements in agile projects), IC2 (industry context), IC3 (qualitative research), and IC4 (primary study). It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile (EC6), addresses multiple agile methodologies (e.g., customer collaboration, team motivation), and answers relevant research questions (EC9). Therefore, it meets all inclusion criteria and does not violate any exclusion criteria."
2326.0,Included,included,Supporting agile software development through active documentation,"The major difference between agile and traditional approaches is not whether to engage in requirements engineering (RE), but rather when to do so [38]. In agile development, requirements are built throughout the ...",EXCLUDED,"The article is an abstract and does not present a complete study, violating Exclusion Criterion EC4. Additionally, it lacks specific details on how it addresses software requirements or agile methodologies, failing to meet Inclusion Criterion IC1 and IC9."
1357.0,Included,included,"High-Speed Software Development Practices: What Works, What Doesn't","To gain a better understanding of the pros and cons of some of the more popular high-speed software development practices, an empirical study was conducted involving 10 US companies. Detailed case studies of Internet software development in the 10 companies were reviewed and knowledge was synthesized on best practices for quality and agility. The study identified six common problems these companies experience in high-speed development and the practices they use to address them. Together these practices address time-to-market, a changing environment, programmer and designer productivity, and fluid requirements. The study showed that in a high-speed development setting, cultural attitudes and values are also critical ingredients and are typically present in organizations that embrace the six practices",INCLUDED,"The article addresses software requirements in agile development practices through an empirical study of 10 US companies, focusing on high-speed software development. It meets IC1 (software requirements in agile methodologies), IC2 (industry study), IC3 (qualitative research via case studies), and IC4 (primary study). It does not violate any exclusion criteria: it is in English (EC1), addresses software development practices (EC3), is a complete study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (implied by 'high-speed development' and 'agility'), and answers research questions about best practices and challenges (EC9). Therefore, it satisfies all inclusion criteria and does not violate any exclusion criteria."
1543.0,Excluded,ec3,Investigating Daily Team Meetings in Agile Software Projects,"An increasing amount of time is being spent at organizational meetings. One common type of meeting in software projects is the daily team meeting, which is the most important forum for coordinating and planning daily work. To better understand how software teams make decisions, communicate, and coordinate their work, we must uncover the micro-level interaction processes among the team members at these meetings. We analyzed transcriptions of eight daily meetings from two software development teams. The agile literature states that the daily meeting should focus on answering questions such as ""What have I done? What will be done? What obstacles are in my way?"" However, on average, only 24% of each of the meetings that we studied focused on this task. We found that 35% of the meeting was spent on elaborating problem issues and discussing possible solutions. Very little time was used for coordinating tasks. Our results indicate that many project decisions are made in daily team meetings and that this quick decision making requires team members to be experts. These experts need to have a shared understanding of who is responsible for what and of the information and requirements needed to solve the tasks.",INCLUDED,"The article addresses software project requirements in the context of agile methodologies, specifically focusing on daily team meetings. It is based on qualitative analysis of real-world team interactions, meeting the criteria of IC1 (software project requirements in agile), IC2 (academic study), IC3 (qualitative research), and IC4 (primary study). It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (daily stand-up meeting), and answers at least one research question (e.g., how meetings are used for coordination and decision-making). Therefore, it meets all inclusion criteria and does not violate any exclusion criteria."
1715.0,Excluded,ec7,Models in the RE Series," This paper reports on the use and importance of models in the RE (Requirements Engineering) series of conferences based on the results of an analysis of the use of the word `model' and of other words with `model...' as their stem in the main bodies of the texts of published papers. The 620 papers examined contained 18,066 instances of these words. The words identified were divided into `general terms' for models (505), `special names' for models (215) and names for the `nature and characteristics' of models and modelling (120). The large numbers are a clear indicator of the overall importance which the model has as a dominant concept and as a still proliferating artifact in the practice of those participating in the series. The three groups of names represent social conventions adopted for communication and continuity; the third provides a pragmatically rather than theoretically based overview of the factors affecting models and modelling. The conclusions suggest questions that may improve general practice and form the basis of more specific model declaration.",EXCLUDED,"The study is a tertiary analysis of published conference papers, focusing on word usage and frequency rather than addressing software requirements in agile methodologies. It does not involve any study of software project requirements or agile practices, thus violating Exclusion Criterion EC5 (study is tertiary or a meta-analysis)."
125.0,Excluded,ec3,A genetic algorithm approach for solving the daily photograph selection problem of the \{SPOT5\} satellite,"This article addresses the combinatorial optimization problem of managing earth observation satellites (EOSs) such as the French SPOT5, which is concerned with selecting on each day a subset of a set of candidate photographs. The problem has a significant economic importance due to its high initial investment cost that exists in these instruments and its solution difficulty resulting from the large solution space, making it an attractive research area. This article proposes a genetic algorithm (GA) for solving the \{SPOT5\} selection problem using a new genome representation for maximizing not only a single objective as profit but a multi-criteria objective that includes the number of acquired photographs. Test results of our proposed \{GA\} show that it finds optimal solutions effectively for moderate size problems and obtains better results for two large benchmark instances coded 1403 and 1504 in the literature. Also, we verify the result that the best known value in the literature for problem coded 1401 is an optimal value.",EXCLUDED,"The article does not address software requirements or agile methodologies, violating Exclusion Criteria EC3 and EC7. It focuses on a combinatorial optimization problem for satellite image selection, unrelated to software project requirements or agile practices."
73.0,Included,included,A case study on benefits and side-effects of agile practices in large-scale requirements engineering,"In the software industry, there is a strong shift from traditional phase-based development towards agile methods and practices. This paper reports on a case study aimed at investigating if, and how, agile Requirements Engineering (RE) can remedy the challenges of traditional RE, and what new challenges agile RE may pose. The results from an initial case study with 9 practitioners from a large software development company, which is transitioning towards agile-inspired processes, show that agile practices address some RE challenges such as communication gaps and overscoping, but also cause new challenges, such as striking a good balance between agility and stability, and ensuring sufficient competence in cross-functional development teams.",INCLUDED,"The article addresses software requirements in agile methodologies (IC1), is based on a case study (IC4), and involves practitioners from a software development company (IC2). It is a primary study (IC4), not a draft, abstract, or tertiary study. It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete study (not a draft or presentation) (EC4), is not a meta-analysis or tertiary study (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (implied by 'agile practices' and 'agile-inspired processes'), and answers research questions about benefits and side-effects of agile practices (EC9). Therefore, it meets all inclusion criteria and does not violate any exclusion criteria."
22.0,Included,included,“You Want to do What?” Breaking the Rules to Increase Customer Satisfaction,Customer satisfaction. Every customer support organization strives to increase and maintain a higher level of customer satisfaction. This is a story of how one software organization attempted to increase customer satisfaction by increasing predictability and response times to reported defects. Along the way they were able to establish trust with the customer support organization by implementing a process that seemed counterintuitive to its stakeholders.,EXCLUDED,"The article does not address software requirements as it focuses on customer satisfaction, predictability, and response times to defects without linking these to software requirements. This violates Exclusion Criterion EC3, which states that the study must address software requirements."
1629.0,Included,included,Making Metaphors that Matter,"The system metaphor was proposed in Extreme Programming as a lightweight alternative to more rigorous architecture practices, but many teams have trouble using metaphors effectively to improve team communication or evaluate a system's architecture. This is no surprise as few agile teams have had training in architecture practices let alone in how to create metaphors. In our experience this does not invalidate the metaphor, but rather shows that more guidance is needed in the proper use of metaphors. This paper outlines one team's positive experience using system metaphors in the development of a medium-sized, service-oriented, enterprise system. Specific guidelines for creating effective metaphors are presented along with concrete examples.",INCLUDED,"The article addresses software requirements in agile methodologies (specifically, system metaphors in Extreme Programming), is based on a primary study (a team's experience), and focuses on practical guidelines for using metaphors in software development. It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is a complete study (not a draft or abstract) (EC4), is not a tertiary or meta-analysis (EC5), does not deal with teaching agile methods (EC6), addresses at least one agile methodology (Extreme Programming) (EC7), and answers at least one research question (how to create effective metaphors) (EC9). It meets all inclusion criteria: it addresses software project requirements in agile contexts (IC1), is a primary study from industry or academia (IC2), is qualitative research (IC3), and is a primary study (IC4)."
1164.0,Excluded,ec3,Ethical decision making in technology development: a case study of participation in a large-scale information systems development project,"Advanced systems engineering has traditionally paid little attention to ethical concerns relative to other technical and non-technical issues. This is particularly evident in systems analysis, design, and development methodologies. This paper asks if it is possible that the lack of emphasis upon ethical considerations in development methodologies can result in the failure of advanced technology development projects? In order to explore this contention, the paper sets out the findings of a case study of a large-scale advanced technology project in a multinational engineering company involving the implementation of an enterprise resource planning system. The research examined the extent to which ethical issues emerged in the project and assesses the impact of ethical considerations upon the technology development process and its outcomes. Evidence is presented which shows how ethical concerns clearly impacted upon the outcome of the project, supporting the contention that ethics was a success factor in the case presented. However, it was also clear that the kinds of ethical considerations that emerged were highly complex, and associated with an “ethics of care”. The findings suggested that researchers should examine the potential of an “ethics of care” as a way of complimenting the “ethics of rights” currently dominant within engineering ethics.",EXCLUDED,"The article does not address software requirements or agile methodologies, violating Exclusion Criterion EC7. It focuses on ethical decision-making in technology development rather than software project requirements using agile methods."
