ID,STATUS,Applied Criterios,TITLE,ABSTRACT,RESULT_A_1,EXPLAIN_A_1
995.0,Included,included,Dependable solutions design by Agile Modeled Layered Security Architectures,"Our research entitled ""Designing Dependable Agile Layered Security Architecture Solutions"" addresses the innovative idea and novel implementations of Security Engineering for Software Engineering using Agile Modeled Layered Security Architectures for Dependable Privacy Requirements, with a validation of an exemplar case study of Web Services Security Architectures. Securing the Software Architecture in any application at design phase is known as Security Architectures, and we focus on authentication and authorization of the user. Now a day most of the applications are developed as a Layered Security Architecture Pattern, typically we have user presentation layer, Business Logic Layer and Database access layer. Now Agile modeling is used in all applications design (but Agile Modeled Architectures are given little importance) because of shortened developed time, with customer collaborations with developers and importantly with Test Driven Development approaches. Securing Agile Modeled architectures, which being an iterative development, will provide enhanced Dependable Security Requirements in terms of Privacy of user, in its successive iterations. All this research paves a way for Secure Web Engineering. Â© Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2012.",INCLUDED,"The article is written in English, addresses software requirements in the context of agile methodologies (specifically, secure layered architectures for dependable privacy), and focuses on a case study validation. It does not violate any exclusion criteria (EC1, EC3, EC4, EC5, EC6, EC7, EC9). It meets all inclusion criteria: IC1 (addresses software project requirements using agile methodologies), IC2 (academic study), IC3 (qualitative/empirical case study), and IC4 (primary study). Therefore, it is classified as INCLUDED."
2680.0,Included,included,URDAD as a semi-formal approach to analysis and design,"The Use Case, Responsibility Driven Analysis and Design (URDAD) methodology is a methodology for technology neutral design generating the Platform Independent Model of the Object Management Group’s Model Drive...",EXCLUDED,The article does not address software requirements as it focuses on URDAD as a semi-formal approach to analysis and design without specifying how it addresses software project requirements or agile methodologies. This violates Exclusion Criterion EC3: 'the study does not address software requirements'.
2739.0,Included,included,Using MCRDR based Agile approach for expert system development,"Generally, expert obtain the knowledge from their own personal experience [24...",EXCLUDED,"The article does not address software requirements as it focuses on expert system development using an MCRDR-based Agile approach, and the abstract indicates a focus on personal experience rather than software requirements. This violates EC3, which states that the study must address software requirements."
1926.0,Excluded,ec4,Proceedings of the 30th international conference on Software engineering,"Welcome to the 30th International Conference on Software Engineering in Leipzig, Germany. On behalf of the entire organizing committee, we are very happy to welcome you to ICSE which returns to Germany for the third time after Munich (1978) and Berlin ...",EXCLUDED,"The article is only a conference welcome message and does not present a study addressing software requirements or agile methodologies. It is a presentation or abstract of a conference event, not a research study, thus violating Exclusion Criterion EC4 (study is incomplete, a draft, presentation slides, or just an abstract)."
1242.0,Excluded,ec6,eXtreme Programmingâ€“â€“helpful or harmful in educating undergraduates?,"Criticism is sometimes leveled at the academic Software Engineering community on the basis that current educational practices are too document-centric. Both students and practitioners have suggested that one of the popular, lighter-weight, agile methods would be a better choice. This paper examines the educational goals for undergraduate Software Engineering education and considers how they might be met by the practices of eXtreme Programming. Our judgment is that education about some agile practices could be beneficial for small-scale development. However, as it stands now, eXtreme Programming as a package does not lend itself for use in educating about large-scale system development in tertiary education.",INCLUDED,"The article addresses software project requirements through the lens of agile methodologies, specifically eXtreme Programming (XP), in an educational context. It meets IC1 (software requirements in agile settings), IC2 (academic setting), IC3 (qualitative research), and IC4 (secondary study). It does not violate any exclusion criteria: it is in English (EC1), addresses software requirements (EC3), is not incomplete or a draft (EC4), is not a tertiary or meta-analysis (EC5), does not focus on teaching agile methods (EC6), addresses at least one agile methodology (XP) (EC7), and answers at least one research question (EC9). Therefore, it is classified as INCLUDED."
1479.0,Excluded,ec4,Index,abstract is not available,EXCLUDED,"The article does not have an abstract available, which violates Exclusion Criterion EC9 (fails to answer at least one research question), making it ineligible for inclusion."
1689.0,Excluded,ec3,MITSIO—an architecture for the management of interactive tasks and the semantic integration of ontologies in the mobile grid,"The interaction between mobile and grid environments in building a transparent infrastructure for mobile users, involves several factors from both wired and wireless networks. These include the following: coor...",EXCLUDED,"The article does not address software requirements in the context of agile methodologies, violating Exclusion Criterion EC3. Additionally, the focus is on architecture and semantic integration in mobile grid environments, not on software project requirements managed through agile methods."
1361.0,Included,included,Hitting the target: adding interaction design to agile software development,"Extreme Programming appears to be a solution for discovering and meeting requirements faster (through close customer collaboration) as well as creating quality software. In practice we found XP did deliver high quality software quickly, but the resulting ...",INCLUDED,"The article addresses software requirements in the context of agile methodologies, specifically Extreme Programming (XP), which is an agile methodology. It is a primary study (implied by the abstract describing practical findings) and discusses how XP helps in discovering and meeting requirements faster through customer collaboration. The article is written in English, not a tertiary or meta-analysis, and does not focus on teaching agile methods or fail to address a key agile methodology. It satisfies all inclusion criteria and violates no exclusion criteria."
2123.0,Included,included,"Scenarios, personas and user stories: User-centered evidence-based design representations of communicable disease investigations","AbstractPurpose Despite years of effort and millions of dollars spent to create unified electronic communicable disease reporting systems, the goal remains elusive. A major barrier has been a lack of understanding by system designers of communicable disease (CD) work and the public health workers who perform this work. This study reports on the application of user-centered design representations, traditionally used for improving interface design, to translate the complex \{CD\} work identified through ethnographic studies to guide designers and developers of \{CD\} systems. The purpose of this work is to: (1) better understand public health practitioners and their information workflow with respect to \{CD\} monitoring and control at a local health agency, and (2) to develop evidence-based design representations that model this \{CD\} work to inform the design of future disease surveillance systems. Methods We performed extensive onsite semi-structured interviews, targeted work shadowing and a focus group to characterize local health agency \{CD\} workflow. Informed by principles of design ethnography and user-centered design we created persona, scenarios and user stories to accurately represent the user to system designers. Results We sought to convey to designers the key findings from ethnographic studies: (1) public health \{CD\} work is mobile and episodic, in contrast to current \{CD\} reporting systems, which are stationary and fixed, (2) health agency efforts are focused on \{CD\} investigation and response rather than reporting and (3) current \{CD\} information systems must conform to public health workflow to ensure their usefulness. In an effort to illustrate our findings to designers, we developed three contemporary design-support representations: persona, scenario, and user story. Conclusions Through application of user-centered design principles, we were able to create design representations that illustrate complex public health communicable disease workflow and key user characteristics to inform the design of \{CD\} information systems for public health.",EXCLUDED,"The article does not address software requirements or agile methodologies, violating Exclusion Criteria EC3 and EC7. It focuses on user-centered design representations for public health systems, not software project requirements in an agile context."
373.0,Excluded,ec3,Agile development: evaluation and experience,"Agile methods such as Extreme Programming, Crystal, Scrum, and others have attracted a lot of attention recently. Agile methods stress early and continuous delivery of software, welcome changing requirements, and value early feedback from customers. Agile methods seek to cut out inefficiency, bureaucracy, and anything that adds no value to a software product. Proponents of agile methods often see software specification and documentation as adding no value, which has led observers to conclude that agile development is nothing but unprincipled hacking, perhaps even an anarchic counter-reaction to bureaucratic, heavyweight software processes that demand ever more intermediate deliverables from developers. The purpose of this panel is to discuss under what circumstances agile methods work and don't work. Some of the key practices of agile methods are: scheduling according to feature priorities, incremental delivery of software, feedback from expert users, emphasis on face-to-face communication, pair development, minimalist design combined with refactoring, test-driven development, automated regression testing, daily integration, self-organizing teams, and periodic tuning of the methods. Working software is the primary measure of success. Find out what the latest practical experience with agile methods is and learn about the latest thinking in this area.",EXCLUDED,"The article is a panel discussion abstract that does not present a study addressing software requirements or answer specific research questions. It fails to meet Inclusion Criteria IC1 (addresses requirements in software projects using agile methodologies) and IC9 (answers at least one research question). Additionally, it is a discussion of general practices and perspectives rather than a primary or secondary study, violating IC4. It also does not describe a study that evaluates or addresses software requirements, thus violating EC3. Therefore, it is excluded."
1384.0,Excluded,ec3,How to Build an Informative Workspace? An Experience Using Data Collection and Feedback,"Several works on agile methods discuss the use of team's workspace for displaying relevant information. The management of an Informative Workspace (IW) is a challenging task as it can involve many different subjects such as team adaptability, continuous reflection, workspace layout, human cognition, usability, etc. Our paper explores the IW management and it is divided in two phases. The first phase describes a data collection performed on 8 agile teams in order to identify valuable aspects on managing an IW based on their experiences. We proposed a series of suggestions to the teams in order to improve their current context using their IW and we gathered the feedbacks. This process leds to a set of seven heuristics for managing an IW. On the second phase, in order to reinforce the heuristics validity, a five point Likert scale survey was applied resulting mostly in positive evaluations. At the end of these two phases, we associate the seven proposed heuristics, when possible, to available considerations on other agile community references.",INCLUDED,"The article is written in English (EC1 not violated). It addresses software project requirements through the management of an Informative Workspace in agile teams (IC1 satisfied). The study is based on empirical data collection from 8 agile teams and includes both qualitative (experience-based insights) and quantitative (Likert scale survey) elements, thus meeting IC3 (qualitative or quantitative research) and IC4 (primary study). It is not a draft, abstract, tertiary, or meta-analysis (EC4, EC5 not violated). It does not focus on teaching agile methods (EC6 not violated) and addresses core agile practices such as team reflection and continuous improvement (IC7 not violated). It answers specific research questions related to IW management and validation through feedback and heuristics (IC9 not violated). All inclusion criteria are met and no exclusion criteria are violated."
