ID,STATUS,Applied Criterios,TITLE,ABSTRACT,RESULT_B,EXPLAIN_B
995.0,Included,included,Dependable solutions design by Agile Modeled Layered Security Architectures,"Our research entitled ""Designing Dependable Agile Layered Security Architecture Solutions"" addresses the innovative idea and novel implementations of Security Engineering for Software Engineering using Agile Modeled Layered Security Architectures for Dependable Privacy Requirements, with a validation of an exemplar case study of Web Services Security Architectures. Securing the Software Architecture in any application at design phase is known as Security Architectures, and we focus on authentication and authorization of the user. Now a day most of the applications are developed as a Layered Security Architecture Pattern, typically we have user presentation layer, Business Logic Layer and Database access layer. Now Agile modeling is used in all applications design (but Agile Modeled Architectures are given little importance) because of shortened developed time, with customer collaborations with developers and importantly with Test Driven Development approaches. Securing Agile Modeled architectures, which being an iterative development, will provide enhanced Dependable Security Requirements in terms of Privacy of user, in its successive iterations. All this research paves a way for Secure Web Engineering. Â© Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2012.",INCLUDED,"The article satisfies all Inclusion Criteria: it addresses requirements in software projects using agile methodologies (IC1). It is a qualitative research study, as it discusses the design and validation of case studies (IC3). The research is primary, as it presents original findings on the subject of security architectures in agile modeled systems (IC4). There is no evidence of the article violating any of the Exclusion Criteria: the language is English (EC1), it does not solely address software requirements but rather focuses on security architectures within them (EC3), it is not an incomplete draft or abstract (EC4), it is not a tertiary or meta-analysis (EC5), it does not deal exclusively with teaching agile methods (EC6), it does not fail to address any agile methodology but rather applies them in a security context (EC7), and the abstract provides information that suggests it answers the research question of securing agile modeled architectures (EC9). Therefore, the article is classified as INCLUDED."
2680.0,Included,included,URDAD as a semi-formal approach to analysis and design,"The Use Case, Responsibility Driven Analysis and Design (URDAD) methodology is a methodology for technology neutral design generating the Platform Independent Model of the Object Management Group’s Model Drive...",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), is written in English (no violation of EC1), and is a qualitative study (assumed to satisfy IC3). The full context suggests it's a primary study (IC4), and while it's not explicitly stated, it seems to fulfill the research question about URDAD methodology (avoiding EC9). There's no indication it deals with teaching agile methods (EC6) or fails to address agile methodologies (EC7)."
2739.0,Included,included,Using MCRDR based Agile approach for expert system development,"Generally, expert obtain the knowledge from their own personal experience [24...",INCLUDED,"The article focuses on using an Agile approach, specifically the MCRDR method, for developing expert systems in software projects. It addresses requirements in software projects (IC1), is a study from academia (IC2), and although the abstract does not specify if it is qualitative or quantitative, it implies primary research. It does not violate any exclusion criteria as it is written in English, does not seem to be incomplete or a draft, does not deal with teaching methods or meta-analyses, and does not fail to address agile methodologies (EC6 and EC7)."
1926.0,Excluded,ec4,Proceedings of the 30th international conference on Software engineering,"Welcome to the 30th International Conference on Software Engineering in Leipzig, Germany. On behalf of the entire organizing committee, we are very happy to welcome you to ICSE which returns to Germany for the third time after Munich (1978) and Berlin ...",EXCLUDED,"The provided article is a conference proceeding abstract, which does not address requirements in software projects using agile methodologies (violates IC1). Additionally, it does not specify if the research is qualitative or quantitative (violates IC3). There is no mention of primary or secondary study status (violates IC4). Therefore, it does not meet the Inclusion Criteria."
1242.0,Excluded,ec6,eXtreme Programmingâ€“â€“helpful or harmful in educating undergraduates?,"Criticism is sometimes leveled at the academic Software Engineering community on the basis that current educational practices are too document-centric. Both students and practitioners have suggested that one of the popular, lighter-weight, agile methods would be a better choice. This paper examines the educational goals for undergraduate Software Engineering education and considers how they might be met by the practices of eXtreme Programming. Our judgment is that education about some agile practices could be beneficial for small-scale development. However, as it stands now, eXtreme Programming as a package does not lend itself for use in educating about large-scale system development in tertiary education.","
---

Based on the provided criteria, the article should be classified as ""INCLUDED"". Here is the justification:

The article addresses requirements in software projects using agile methodologies, specifically eXtreme Programming, which meets IC1. It is a study from academia as it examines educational goals for undergraduate Software Engineering education, satisfying IC2. The paper discusses the application and effectiveness of eXtreme Programming in education, which can be considered qualitative research, thus fulfilling IC3. Although it is a primary study (not secondary), it does not violate any exclusion criteria. It is not written in a language other than English (EC1), it does not fail to address software requirements (EC3), it is not incomplete (EC4), it is not a tertiary or meta-analysis study (EC5), it does not solely focus on teaching agile methods (EC6), it does not fail to address any agile methodology (EC7), and it does answer the research question of whether eXtreme Programming is beneficial for small-scale development in education (EC9).

{
  ""result"":",
1479.0,Excluded,ec4,Index,abstract is not available,EXCLUDED,"The article is an index, which does not provide a study or research details, thus not meeting the Inclusion Criteria which require a primary or secondary study addressing software requirements using agile methodologies. Additionally, the abstract is not available, making it impossible to evaluate the study's content against the Inclusion Criteria."
1689.0,Excluded,ec3,MITSIO—an architecture for the management of interactive tasks and the semantic integration of ontologies in the mobile grid,"The interaction between mobile and grid environments in building a transparent infrastructure for mobile users, involves several factors from both wired and wireless networks. These include the following: coor...",EXCLUDED,"While the article addresses a topic related to software and mobile grid environments, it does not specifically address requirements in software projects using agile methodologies (IC1). Furthermore, the article's abstract does not clearly state if it is a qualitative or quantitative research (IC3), nor does it mention if it's a primary or secondary study (IC4). Without this information, it cannot be confirmed that the article meets all the Inclusion Criteria."
1361.0,Included,included,Hitting the target: adding interaction design to agile software development,"Extreme Programming appears to be a solution for discovering and meeting requirements faster (through close customer collaboration) as well as creating quality software. In practice we found XP did deliver high quality software quickly, but the resulting ...",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), and it seems to be a study from industry discussing the practical application of XP, which is an agile methodology (IC2). Although the abstract does not specify if the research is qualitative or quantitative, it implies primary research through describing a practical application and findings (IC4). There is no mention of drafts, presentations, or abstracts only, and it does not violate any exclusion criteria such as language, teaching methods, lack of methodology focus, or failure to address research questions."
2123.0,Included,included,"Scenarios, personas and user stories: User-centered evidence-based design representations of communicable disease investigations","AbstractPurpose Despite years of effort and millions of dollars spent to create unified electronic communicable disease reporting systems, the goal remains elusive. A major barrier has been a lack of understanding by system designers of communicable disease (CD) work and the public health workers who perform this work. This study reports on the application of user-centered design representations, traditionally used for improving interface design, to translate the complex \{CD\} work identified through ethnographic studies to guide designers and developers of \{CD\} systems. The purpose of this work is to: (1) better understand public health practitioners and their information workflow with respect to \{CD\} monitoring and control at a local health agency, and (2) to develop evidence-based design representations that model this \{CD\} work to inform the design of future disease surveillance systems. Methods We performed extensive onsite semi-structured interviews, targeted work shadowing and a focus group to characterize local health agency \{CD\} workflow. Informed by principles of design ethnography and user-centered design we created persona, scenarios and user stories to accurately represent the user to system designers. Results We sought to convey to designers the key findings from ethnographic studies: (1) public health \{CD\} work is mobile and episodic, in contrast to current \{CD\} reporting systems, which are stationary and fixed, (2) health agency efforts are focused on \{CD\} investigation and response rather than reporting and (3) current \{CD\} information systems must conform to public health workflow to ensure their usefulness. In an effort to illustrate our findings to designers, we developed three contemporary design-support representations: persona, scenario, and user story. Conclusions Through application of user-centered design principles, we were able to create design representations that illustrate complex public health communicable disease workflow and key user characteristics to inform the design of \{CD\} information systems for public health.",INCLUDED,The article meets all Inclusion Criteria without violating any Exclusion Criteria.
373.0,Excluded,ec3,Agile development: evaluation and experience,"Agile methods such as Extreme Programming, Crystal, Scrum, and others have attracted a lot of attention recently. Agile methods stress early and continuous delivery of software, welcome changing requirements, and value early feedback from customers. Agile methods seek to cut out inefficiency, bureaucracy, and anything that adds no value to a software product. Proponents of agile methods often see software specification and documentation as adding no value, which has led observers to conclude that agile development is nothing but unprincipled hacking, perhaps even an anarchic counter-reaction to bureaucratic, heavyweight software processes that demand ever more intermediate deliverables from developers. The purpose of this panel is to discuss under what circumstances agile methods work and don't work. Some of the key practices of agile methods are: scheduling according to feature priorities, incremental delivery of software, feedback from expert users, emphasis on face-to-face communication, pair development, minimalist design combined with refactoring, test-driven development, automated regression testing, daily integration, self-organizing teams, and periodic tuning of the methods. Working software is the primary measure of success. Find out what the latest practical experience with agile methods is and learn about the latest thinking in this area.","
---
Title: Agile development: evaluation and experience
-
Abstract: Agile methods such as Extreme Programming, Crystal, Scrum, and others have attracted a lot of attention recently. Agile methods stress early and continuous delivery of software, welcome changing requirements, and value early feedback from customers. Agile methods seek to cut out inefficiency, bureaucracy, and anything that adds no value to a software product. Proponents of agile methods often see software specification and documentation as adding no value, which has led observers to conclude that agile development is nothing but unprincipled hacking, perhaps even an anarchic counter-reaction to bureaucratic, heavyweight software processes that demand ever more intermediate deliverables from developers. The purpose of this panel is to discuss under what circumstances agile methods work and don't work. Some of the key practices of agile methods are: scheduling according to feature priorities, incremental delivery of software, feedback from expert users, emphasis on face-to-face communication, pair development, minimalist design combined with refactoring, test-driven development, automated regression testing, daily integration, self-organizing teams, and",
