ID,STATUS,Applied Criterios,TITLE,ABSTRACT,RESULT_B,EXPLAIN_B
1655.0,Included,included,Mapping CMMI level 2 to scrum practices: An experience report,"CMMI has been adopted advantageously in large companies for improvements in software quality, budget fulfilling, and customer satisfaction. However SPI strategies based on CMMI-DEV require heavy software development processes and large investments in terms of cost and time that medium/small companies do not deal with. The so-called light software development processes, such as Agile Software Development (ASD), deal with these challenges. ASD welcomes changing requirements and stresses the importance of adaptive planning, simplicity and continuous delivery of valuable software by short time-framed iterations. ASD is becoming convenient in a more and more global, and changing software market. It would be greatly useful to be able to introduce agile methods such as Scrum in compliance with CMMI process model. This paper intends to increase the understanding of the relationship between ASD and CMMI-DEV reporting empirical results that confirm theoretical comparisons between ASD practices and CMMI level2. Â© 2009 Springer Berlin Heidelberg.",INCLUDED,The article addresses requirements in software projects using agile methodologies (IC1) and is a study from academia (IC2). It is qualitative research (IC3) and is a primary study (IC4). The article does not violate any exclusion criteria (EC1-EC9) and meets all inclusion criteria.
2721.0,Excluded,ec7,Using Collective Intelligence to Detect Pragmatic Ambiguities, ,EXCLUDED,"The article does not address requirements in software projects using agile methodologies (IC1 criterion), which is a key requirement for inclusion. It is an abstract that does not provide enough information to determine if it meets the other inclusion criteria."
1880.0,Excluded,ec4,"Proceedings - AGILE Conference, 2006",The proceedings contain 50 papers. The topics discussed include: earned value and agile reporting; an empirical study of using planning poker for user story estimation; on agile performance requirements specification and testing; refactoring with contracts; a case study on the impact of customer communication on defects in agile software development; critical personality traits in successful pair programming; reflections on reflections in agile software development; the deployment production line; the cost of code quality; the agile marathon; a tale of two projects; the pairing sessions as the atomic unit of work; multiple simultaneous projects with one eXtreme programming team; value based extreme programming; something to believe in; introducing lean principles with agile practices at a fortune 500 company; optimizing major release frequency using agile practices; and examining the compatibility of student pair programmers.,INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), it is a collection of studies from industry (assumed academia as well, satisfying IC2), and it is qualitative research as it is a conference proceeding (IC3). The nature of the content does not violate any exclusion criteria, and it does not specifically address teaching agile methods (EC6) or fail to address agile methodologies (EC7). It does not seem to be a tertiary or meta-analysis (EC5), nor is it incomplete or only an abstract (EC4). The article does not fail to answer any research question, implying it does not violate EC9."
1207.0,Excluded,ec3,Experiences with Extreme Programming in telehealth: Developing and implementing a biosecurity health care application,"There has been limited research on how non-conventional system development methodologies such as, Agile modeling methods could improve the successful development and implementation of telehealth services. The goal of this research was to increase the understanding of the impact of using the Extreme Programming process, an Agile modeling approach, to the development effort of a biosecurity telehealth project. Overall, the research indicates that Extreme Programming is an effective methodology to develop health care applications. The rapid prototyping enabled IT developers and health care users to clarify system requirements, communicate openly, and quickly build rapport. Further, the research found that that where the technology was new or foreign, the Extreme Programming process was flexible enough to support several iterations of technology and produce prototypes in a timely manner.",INCLUDED,"The article addresses software requirements in telehealth projects using Agile methodologies (IC1), is qualitative research (IC3), and is a primary study (IC4). It does not violate any exclusion criteria as it is written in English, fully explores Extreme Programming as an agile methodology, and answers research questions about the development and implementation process of a biosecurity telehealth application."
1700.0,Excluded,ec7,"Model driven architecture: how far have we come, how far can we go?","Model Driven Architecture (MDA) is a technology that has been in the process of evolution for many years. Today, many vendors are now producing products that support MDA. We are hearing more and more success stories that indicate that this technology ...",INCONCLUSIVE,"While the article meets some of the inclusion criteria, specifically being a primary study and discussing industry perspectives, it cannot be fully classified as 'INCLUDED' due to insufficient information on whether it is qualitative or quantitative research, which is a necessary criterion for inclusion."
328.0,Included,included,Adapting XP to complex application domains,"Extreme programming (XP) works well for small software projects in not-too-complex application domains. In many of these projects the rather simple requirements engineering of XP (customers write story cards) has proved suitable. But today we are more often faced with complex application domains in which the classical XP techniques will not suffice. The tutorial shows how to adapt extreme programming to complex application domains and to demanding development tasks. We focus mainly on the requirements engineering part and show how to enhance XP with interviews, scenarios and system visions. We also integrate the management perspective into the ""planning game"" reconciling this perspective to users' needs. We propose a set of best-practice methods we have used in a number of industrial high-risk projects for different complex application domains.",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), is from industry (assumed based on the context of high-risk industrial projects), and is a primary study (not a meta-analysis or tertiary study). It does not violate any exclusion criteria, as it is written in English, discusses software requirements, is not incomplete, does not exclusively deal with teaching agile methods, and does not fail to address agile methodologies or research questions. Instead, it focuses on adapting XP to complex application domains, which aligns with the inclusion criteria."
2043.0,Excluded,ec4,Report on the first SEMAT workshop on general theory of software engineering (GTSE 2012),"Many academic disciplines have general theories, which apply across the discipline and underlie much of its research. Examples include the Big Bang theory (cosmology), Maxwell's equations (electrodynamics), the theories of the cell and evolution (biology), ...",EXCLUDED,"The article discusses a general theory in software engineering, which does not specifically address software requirements in agile methodologies as per IC1."
2583.0,Included,included,Tool-supported process analysis and design for the development of multi-agent systems,"This paper introduces a methodology for the development of multi-agent systems, in particular multi-agent systems that optimize the collaboration of distributed work groups like clinical departments. A major difficulty with such systems is requirements elicitation, because intimate knowledge of the work processes is needed to identify the potential agent application scenarios. In the face of uncertain requirements, our methodology exploits some ideas from agile software development approaches such as Extreme Programming, namely the values of collaboration with domain experts and of human creativity driven by rapid feedback. We support collaboration by means of a tool-supported modeling approach that allows one to capture existing and agentified processes in a format that is sufficiently simple to be understood and maintained by domain experts. These process models can be automatically synchronized with executable agent source code, so that rapid feedback is ensured. We support creativity by means of a searchable repository of reusable agent design patterns and other types of process modeling knowledge. Â© Springer-Verlag Berlin Heidelberg 2003.","
---

Based on the provided criteria, the article can be classified as ""INCLUDED"".

Explanation: The article addresses requirements in software projects using agile methodologies (IC1), it's a study from academia (IC2), it appears to be qualitative research based on the description of methodology and tool-supported modeling approach (IC3), and it's a primary study as it introduces a methodology (IC4). It does not violate any Exclusion Criteria: it's written in English (EC1), it does not fail to address software requirements (EC3), it's not described as incomplete, draft, or just abstract (EC4), it's not a tertiary or meta-analysis (EC5), it does not deal with teaching agile methods (EC6), it does not fail to address agile methodologies (EC7), and it does not fail to answer a research question (EC9).

{
  ""result"": ""INCLUDED"",
  ""explanation"": ""The article meets all Inclusion Criteria and does not violate any Exclusion Criteria, as it addresses requirements",
135.0,Included,included,A Hybrid Software Architecture Evaluation Method for FDD - An Agile Process Model,"The software development industry suffers from the delay in project completion time due to heavy documentation requirements of traditional process models. To overcome these delays, agile process models are getting a wide acceptance and popularity in the industry. The beauty of these models is light weight documentation and heavy intercommunications. Due to an emphasis of these models on rapid development, there is an ever increasing need of architecture evaluation. A single software architecture evaluation method (SAEM) capable of preserving the agility does not exist at the moment. In this paper, we have proposed a hybrid SAEM for feature driven development (FDD) agile process model. The proposed SAEM is hybrid of quality attribute workshop (QAW), architecture tradeoff analysis method (ATAM) and active review for intermediate designs (ARID).",INCLUDED,"The article addresses requirements in software projects using agile methodologies (FDD), is from the industry (software development), and proposes a primary study (a new hybrid SAEM method). It does not violate any Exclusion Criteria."
391.0,Included,included,Agile management of uncertain requirements via generalizations: a case study,"A major justification for the agile class of software processes is that customer requirements often change substantially during development, with the result that developers must work with a ever-changing specification. The best way of dealing with this, it is claimed, is a process including adaptive and iterative steps allowing the code under development to change to meet an evolving requirement. In this paper, we use quantitative process data to argue that the deliberate development of an evolvable design, based upon extensions and variations to the requirements, and the generality derivable from the implemented system, may provide agility within a more traditional development, showing that the two concepts are interchangeable, to some extent. In doing so, the paper draws upon our joint work on evolvable systems, and upon a concept developed by one of us in the 1980's, ""The Contraction of Generality"", to illustrate the alternatives.",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1) and is a study from academia (not specified but implied as a case study). It is qualitative research (not explicitly stated but implied by the nature of a case study), and it is a primary study (as it presents original findings from the authors' research). The article does not violate any exclusion criteria: it is written in English, it does address software requirements, it is not an incomplete draft or just an abstract, it is not a tertiary or meta-analysis, it does not solely deal with teaching methods, it addresses agile methodologies, and it appears to answer research questions related to agile management of uncertain requirements."
595.0,Included,included,Architecture in an agile world,"The world is moving faster than ever, and our software development techniques are struggling to keep up. On one hand, we are under pressure to deliver more features in our software products, so we need to have an agile feature set. On the other hand, we know that we need to have a well-defined and understandable architecture to prevent our project from being in chaos. How do we manage the balance between architecture and agility?",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), it's a qualitative study as it discusses the balance and challenges between agility and architecture (IC3), and it's a primary study as it presents an abstract summarizing the content of the article (IC4). It does not violate any exclusion criteria: it's written in English (EC1), it addresses software requirements (EC3), it's not incomplete (EC4), it's not a tertiary or meta-analysis (EC5), it doesn't solely focus on teaching agile methods (EC6), it doesn't fail to address any agile methodology (EC7), and it does not fail to answer a research question (EC9)."
537.0,Included,included,An integrated approach for requirement selection and scheduling in software release planning,"It is essential for product software companies to decide which requirements should be included in the next release and to make an appropriate time plan of the development project. Compared to the extensive research done on requirement selection, very little research has been performed on time scheduling. In this paper, we introduce two integer linear programming models that integrate time scheduling into software release planning. Given the resource and precedence constraints, our first model provides a schedule for developing the requirements such that the project duration is minimized. Our second model combines requirement selection and scheduling, so that it not only maximizes revenues but also simultaneously calculates an on-time-delivery project schedule. Since requirement dependencies are essential for scheduling the development process, we present a more detailed analysis of these dependencies. Furthermore, we present two mechanisms that facilitate dynamic adaptation for over-estimation or under-estimation of revenues or processing time, one of which includes the Scrum methodology. Finally, several simulations based on real-life data are performed. The results of these simulations indicate that requirement dependency can significantly influence the requirement selection and the corresponding project plan. Moreover, the model for combined requirement selection and scheduling outperforms the sequential selection and scheduling approach in terms of efficiency and on-time delivery.",INCLUDED,"The article addresses requirements in software projects using agile methodologies (IC1), it is a study from academia (IC2), it presents qualitative research in the form of mathematical models and simulations (IC3), and it is a primary study contributing original models and mechanisms (IC4). The article does not violate any exclusion criteria as it is written in English, does not seem to address software requirements in a non-traditional sense, is not an incomplete draft or just an abstract, does not appear to be a tertiary or meta-analysis, does not focus solely on teaching agile methods, addresses both agile methodologies (EC7), and seems to answer key research questions related to requirement selection, scheduling, and integration with revenue maximization (EC9)."
1112.0,Included,included,Embedding requirements within Model-Driven Architecture,"So far, the importance of including the Requirements Engineering paradigm within MDA has been established. ...",INCLUDED,"The article addresses requirements in software projects using Model-Driven Architecture, which is an agile methodology. It is written in English, appears to be a study (though not explicitly stated as primary or secondary), and fits the context of qualitative or quantitative research. There is no indication of violation of exclusion criteria."
1462.0,Excluded,ec4,Index,abstract is not available,EXCLUDED,"The article fails to meet the Inclusion Criteria as it lacks an abstract, which is essential for determining whether it addresses requirements in software projects using agile methodologies (IC1). Without an abstract, we cannot ascertain the research focus, qualitative or quantitative nature (IC3), or whether it is a primary or secondary study (IC4). Therefore, it cannot be classified as INCLUDED."
